id,sentimen,tweet
1,1,oks kak semangat ya kalian kalian
2,0,sekarang harus kaya orang bodoh lagi bodoh sangat
3,1,begitu diumumkan lulus 100 mereka semua sujud syukur dan langsung mengambil bungasaat dia menghampiri langsung memeluk menciumku air mata tak kuasa kubendungmom this is my birthday present for u
4,0,katanya bapak reformasi dan demokrasi di negeri kita ini tapi kenyataannya sebaliknya tidak mau mengakui kelebihan seseorang pemimpin macam apa itu tidak yang bisa diambil contoh dari nya kami sebagai generasi muda menolak
5,0,macet macetan perut kosong akhirnya mampir dahulu soto betawi at gki pamulang pic â
6,0,pernyataan paling mengganggu telinga malam ini keluar dr mulut jubir pemerintah ali mochtar ngabalin pemerintah adalah representasi tuhan di muka bumi makin dekaden nalar demokrasi kita kalo pandangan begitu dibiarkan menguasai istana ternyata sama aja dg pak tua itu tuh
7,1,masi belum move on dari poto poto ini ceritanya lagi nyobain face filter hengpong syanggih punya diajeng astri eka pertiwi gada orangnya gausah dicari
8,1,dibalik kecemburuanterselip rasa kasih sayang yg dalam maka dr itucemburu diperlukan dlm setiap hubungantetapi tetap dlm kadar yg wajar tentunya
9,1,kalo udah sayang beneran itu mau dihadapkan sama cowok yang lebih tajir ganteng pinter serba dll itu pasti bakalan tetep ga mau berpindah
10,1,pagi juga mas nyaa duhh jadi gaenak dapet ucapan met pagi dari netijen twitter wkwk btw dari kejauhan brp km nih alias darimana kota tempat tinggalmu wkwk
11,0,efek pintu tol slipi arah semanggi ditutup macet parah di sini pak polisi bukan ngatur malah jagain jalur busway
12,0,jangan shyok ya d rw yalah ka jadi selama ini â_â sudah lama kali _ rw wkwk ganti klam
13,1,nonton hanya tidakdapat tiket nih hana hem nanti malam sonichi bokuno taiyo nonton yu penasaran nih
14,1,melakukan hal yang sebenernya lo ngga suka dengan happy hati karena lo tau itu bikin pasangan lo bahagiaitu baru romantis
15,1,bikin cake ulang tahun dan hasilnya bagus yeye
16,0,jadi pusing kana sirah na oge
17,1,jadi orang tua itu gitu ya mau anaknya seperti apa keadaannya tetap sayang banget berjuang mati2an demi anak walopun capek pulang kerja masi aja pulangnya nanyain perkembangan anaknya
18,1,romantis itu manis lebih manis lagi kalo dilakuin orang tg kita sayang semua bakal terasa seneng dan berbunga bunga wkwk seperti ribuan kupu kupu terbang yg dii perut kalo lagi yg ngeromantisin gitu
19,0,hari ini aku lelah
20,0,toh ya gue jelasin ke kalian kalau gue sayang dia karena dia sahabat gue lu ngga pada percaya juga kan lu pada ngira kalau gue tu cinta sama dia hei plis dihighlight kalau sayang tu ga melulu soal cintacintaan
21,1,mama takut putri manisnya jatuh lalu terluka tapi sadarkah kamu bahwa papa dengan yakin akan membiarkanmu menatapmu dan menjagamu mengayuh sepeda dengan seksama karena dia tau putri kecilnya pasti bisa
22,1,oalah pantas iyanih dek kan lagi promosi sambil olahraga main skiping kak kok bisa murah
23,0,kalo ngga terpaksa juga ngga bakal gue naik busway gembel bleketek eek nih
24,0,sekelas emerson masih gitu kelakuannya apa lagi klo bukan kerna kebencianya sehingga lupa klo yg diketawain ternyata junjungannyasonsongagal maning
25,0,sudah ah jangan sedih katanya strong sel adit
26,1,cowok ganteng adalah yang pergi solat jumat selamat solat jumat my someone d
27,0,lumayan loh ini cuci sendirian
28,1,dari semua pakaian yang di pasar bayangkara pasar senggol aku memilih 1 pakaian saja jika di beri 2 akan saya gunakan jika di beri 3 tetap saya gunakan jika di beri 4 saya bersyukur untuk di gunakan
29,1,gara gara kapan hari ngopi trus dengerin lagu lagu jadul jaman sd kaya tangga ello andien audy trus skrg bikin playlist lagu lagi yg seangkatan 20042005
30,1,katherine sofia setelah bener ngrasa capek bgt sma kerjaan minimal seminggu sekali harus bgt ngasi reward ke diri sendiri semacam me time dg memanjakan diri
31,1,waktu itu awal kelas 11 cuma karna duduk sebangku gua bisa langsung deg degan dan jatuh hati selama 10menit sama orang yang dulunya guaa kira freaky abis
32,1,amin mokasih yo enak selamat ulang tahun da ade sukses selalu d
33,1,lebih asik kl ngomongin keberhasilan pemerataan pembangunan pencapaian ekonomi dibandingkan ngomongin keburukan calon sebelah ataupun keburukan si gubernur a atau b
34,0,banyak yg tolol di didik untuk jadi kacung mengerti ibadah puasa tapi takut laparr cara rakyat memiliki dan menikmati tanahnya hanya lewat liang lahatnya
35,0,saya paling tidak suka dengan orang sombong saya saja yang tanahnya 7 hektar aset berlimpah saldo di rekening 12 digit itupun baru satu rekening dan punya banyak investasi di dubai diamdiam saja
36,1,pemimpin sejati rt anesasembiring love you jokowi
37,0,tolong dijelaskan maksud dari hal ini dibuktikan dengan penggunaan resi pada transaksi anda yang telah digunakan pada transaksi lain transaksi anda dengan supplier anda saya rasa tidak mungkin double resi
38,1,pa kbar sehat
39,0,lama sekali njir
40,1,tetap disini jangan biarkan aku sepi sendiri izinkan aku selalu bersamamu dalam ikatan yg direstui semesta aku sayang kamu separuh hatiku
41,0,mustinya di biarin aja itu bom pas loe tidur lg rapat aja meledaknya jd kan gak kerasa ya bro tau2 udah di alam laen amp
42,1,masuk dibulan pertama mensive gua sama dia ttp msh baik2 aja gaada masalah sedikit pun selain baik ramah perhatian dia juga orang yg pengertian bat gak banyak nuntut ini itu ke gua itu yg bikin gua sayang bat sama dia
43,0,aduh mentang2 cantik jadi kamu bisa nilai kekurangan orang senaknya begitu ya jangan sombong mbak cantikmu itu milik tuhan
44,1,semoga dengan tayangnya film 22menit ini menjadi perantara untuk selalu menebarkan benihbenih cinta yang akan menumbuhkan persaudaraan diantara umat manusia ansormajusatubarisan
45,1,with the girlfriend maaf bang dipinjem dulu si eneng i need my long overdue dose of lexyness dinnerdate
