id,tweet
0,setelah mengetahui silailah keluarga seokjin gue makin jadi sayanggggg bangetttttt. please bukan krn bokapnya yg ceo/ibunya yg ex miss korea. tp gue sayang sm seokjin yang bener bener mau berjuang sama bangtan. kita tau bangtan dulu susahnya kayak gimana
1,hidup segan mati tak mau!
2,pagi-pagi sudah liat ka ditl ku pagi k manis :)
3,-_- pagi ata calon istrinya bang wowon :) pagi bolon:) selamat pagi selamat beraktivitas :)
4,tay giliran sudah bertengkar saja ngebocorin semua kebusukan saya !gamalu ape ngomngin kebusukan tapi muka kamu juga busuk
5,"berita Via Vallen dapet DM dari pemain sepak bola yang terkesan ""menggoda"" atau sexual harassment, liat komennya pada bilang lebay dan gak harus di publish karena hal kek gitu ""biasa aja"" dan parahnya yang nyinyir perempuan juga :') miris"
6,"Aku ini orang yang ga bisa nyindir-nyindir. Bisanya adalah, ngomong langsung tanpa ampun, disertai dg sedikit bumbu kekesalan, dan setelah itu minta maaf dan teuteup, ngoreksi lagi dia hrs kayak gimana."
7,segelas semangat penuh cinta :)
8,"KENAPA GUA CINTA BANGET SAMA BANG WAWAN SEBAGAI ABANG GUA, YA KARNA DIA SALAH GAULNYA RATA"", SAMA KAYA GUA :"") BANYAK KESAMAAN JUGA HEHE"
9,haduh itu bisnya kasihan benar dihujani batu kaya begitu hancur kaca-kacanya miris liat kejadian kaya gini
